country,year,author_count
US,2021,34670
US,2022,42192
US,2023,13851
UY,2016,5
UY,2017,13
UY,2018,16
UY,2019,25
UY,2020,36
UY,2021,33
UY,2022,52
UY,2023,13
UZ,2019,1
UZ,2020,4
UZ,2021,12
UZ,2022,6
UZ,2023,3
VC,2022,1
VE,2014,2
VE,2017,3
VE,2018,2
VE,2019,2
VE,2020,5
VE,2021,12
VE,2022,9
VE,2023,4
VG,2019,1
VG,2020,1
VN,2014,1
VN,2016,6
VN,2017,10
VN,2018,27
VN,2019,57
VN,2020,85
VN,2021,131
VN,2022,185
VN,2023,27
WS,2020,1
WS,2021,1
WS,2022,1
XK,2014,1
XK,2017,1
XK,2019,1
XK,2020,1
XK,2021,3
XK,2022,7
XK,2023,3
YE,2014,1
YE,2016,1
YE,2018,1
YE,2019,4
YE,2020,2
YE,2021,15
YE,2022,17
YE,2023,1
ZA,2015,6
ZA,2016,26
ZA,2017,76
ZA,2018,170
ZA,2019,262
ZA,2020,411
ZA,2021,506
ZA,2022,605
ZA,2023,150
ZM,2015,1
ZM,2017,3
ZM,2018,9
ZM,2019,12
ZM,2020,11
ZM,2021,19
ZM,2022,22
ZM,2023,4
ZW,2018,3
ZW,2019,6
ZW,2020,14
ZW,2021,12
ZW,2022,10
